Query, Refcode,DIST1 
3,QPTXWS,1.907
3,JJIZSX,1.853
3,XXUBKV,2.289
3,DFLPJZ,2.300
3,MKZCQG,1.900
3,JHZWVH,1.842
3,AOGSRS,2.355
3,BBXMDQ,2.322
3,UEWNCF,1.917
3,NLVAQY,1.863
3,HOBMGZ,2.310
3,WBGLTJ,2.309
3,WUXPYA,1.912
3,HPRIVP,1.846
3,TDBUND,2.340
3,SWNDRD,2.302
3,MSLXCI,1.903
3,SJKONG,1.848
3,NMODPZ,2.270
3,DBZDYM,2.347
3,VQLELD,1.893
3,CUHYTE,1.847
3,WMWMHX,2.343
3,QOZMQW,2.344
3,OQSLHX,2.142
3,JLDVYO,2.139
3,EPHHWI,2.259
3,ILUTMH,1.977
3,VXWHLF,2.224
3,UNHHVS,2.214
3,WRPIYE,2.205
3,XHOOOM,2.129
3,HXJXRV,1.848
3,ABMURT,2.210
3,GDIVFL,2.010
3,DXLEFW,2.187
3,FGDPQH,2.016
3,ADIKUS,1.953
3,TPTBSA,2.108
3,GYUSGM,1.971
3,ADOBGX,1.962
3,DKKPUP,2.022
3,PJBLMC,2.027
3,PALCPG,2.332
3,CSKVZZ,1.858
3,YVFRUO,2.030
3,RMIFUM,2.109
3,XRSWGB,2.230
3,TRRCXG,2.116
3,XAEONF,1.974
3,HHCYBF,2.097
3,ISQTTF,2.109
3,MQGNDM,2.052
3,TKEXUK,2.013
3,QOQIUR,2.023
3,SDFFZH,2.045
3,ZGQFSM,2.012
3,DORXQP,2.054
3,YKXFCZ,2.040
3,XJXUML,2.028
3,UELHZO,2.053
3,WCAFYS,2.064
3,ADBJJE,2.040
3,NXOLCG,2.062
3,ZUEATF,2.021
3,LRHVWI,2.007
3,EYQUJH,2.035
3,BEFMBH,2.005
3,RIYDRI,1.863
3,QFOWXK,1.855
3,UYDKRB,1.921
3,VKMJQG,1.999
3,SKZRZN,1.905
3,VCVDWN,1.884
3,UFWAZF,1.932
3,VAEVRZ,1.967
3,KBPAFW,2.408
3,DRZOUC,2.192
3,QORIAZ,2.125
3,FYXIUJ,2.173
3,UNQIMX,2.104
3,UDCFDW,2.190
3,ULONSQ,2.106
3,AAJISH,2.157
3,SJMUVO,2.137
3,JAODVC,2.182
3,KEKKVM,2.218
3,ULVJYY,2.293
3,BCQLYS,1.945
3,BBNRET,1.852
3,WBGRFV,2.190
3,STERZW,1.973
3,VXKHYT,2.249
3,BHVPZS,1.858
3,IANDAH,1.874
3,JTYGGV,2.269
3,QCTVOH,2.160
3,OZNHFG,2.213
3,EMUCOE,2.249
3,STUBBW,2.361
3,ZGSKAH,2.248
3,ZDWPLY,1.961
3,FSQWDP,1.880
3,TIJTTO,1.866
3,RFKBPU,2.292
3,TVIBWV,2.243
3,SREAFI,2.163
3,XDXDCV,2.316
3,MIPXPY,2.350
3,JRQUKY,2.218
3,FFJDUG,2.108
3,YJVYNK,1.868
3,GSNWMZ,2.091
3,OPAQXP,1.878
3,AWXUTD,2.276
3,QKSEGA,2.169
3,UFVFEA,2.178
3,ZKWXHG,2.097
3,PQGGUT,2.103
3,FYMIHX,2.202
3,XDNZSF,1.890
3,KIDWZO,2.256
3,UETYDD,1.953
3,IPVQYR,1.889
3,HWAAZB,2.251
3,TUGBBU,1.954
3,BJPAZF,2.177
3,LFKPRO,2.346
3,ZIHQRS,2.117
3,EVGBRJ,2.208
3,SQFBIT,2.115
3,XKOYDG,2.165
3,LAHRVQ,2.365
3,IJVJMZ,2.133
3,EYAYKJ,2.189
3,NDEKQG,2.124
3,OANKSB,2.210
3,CPZODE,2.255
3,JVHOLI,2.129
3,KRFSYN,2.127
3,AFFQMH,2.109
3,MAEFCS,2.157
3,LCWNOI,2.218
3,XRRZLO,2.167
3,OFQKXG,2.136
3,SOYSAM,2.180
3,BJIQUP,2.206
3,HLTRUU,1.884
3,YKVKEC,1.886
3,JGNNXJ,2.195
3,TFVZPM,2.240
3,ZABNTY,1.877
3,CQEMOT,1.879
3,BWMNCA,2.182
3,TERTFK,2.291
3,FSLIWF,2.215
3,XJXLED,1.872
3,MKZIWD,1.895
3,VJDOWO,2.247
3,APSFKQ,1.883
3,XPIJPM,1.889
3,CZSJHT,2.186
3,XWYCYL,2.303
3,GNGTXR,2.223
3,FWRPIA,1.883
3,QVWNJE,1.902
3,VDVYFR,2.275
3,XRLBSQ,2.188
3,HVZLGE,1.889
3,JKNNRB,1.870
3,TEXYPB,2.274
3,AKRAGD,2.207
3,FHHICR,2.225
3,PFSHYI,2.181
3,BOQLAZ,2.203
3,VFWKTE,2.173
3,VFRCFF,2.124
3,NPWUDL,2.197
3,DIDQKO,2.169
3,QTPSGJ,2.160
3,GLBNIN,2.170
3,UIXAAE,2.174
3,DVDLRR,2.242
3,XIJUNL,2.242
3,QWLZNW,2.278
3,EZBWZY,2.188
3,YFUNUQ,2.123
3,ADZISN,2.087
3,TFLDTO,2.215
3,SIZNWK,2.168
3,IZVMOD,2.144
3,UPVJQG,2.151
3,ZMKVLU,2.166
3,OHVPRV,2.199
3,KAACYC,2.165
3,ZJDZRP,2.222
3,ISNNJU,2.116
3,YIBITJ,2.153
3,QOLWHO,2.215
3,BRCIAF,2.225
3,XNOHGO,2.226
3,LBZNGK,2.221
3,PBOTHN,2.347
3,GDAMKW,2.269
3,NCFSKE,2.248
3,GMICVB,2.214
3,MFTAWX,2.163
3,LBEPYL,2.173
3,FUXRYD,2.296
3,BLNGUQ,2.291
3,CJNXQP,2.115
3,WYKKKS,2.216
3,ARZBAM,2.178
3,KOLYCZ,2.196
3,IASBNF,2.296
3,HBUVSW,2.299
3,SLMNWH,2.133
3,VGTZJY,2.116
3,YHYWWI,2.197
3,PNEMSJ,2.097
3,VCZKDY,2.170
3,JTJQJC,2.177
3,KOYOFN,2.183
3,IRNNKP,2.136
3,HQOQBV,2.140
3,FOJLQI,2.170
3,RRGUZV,2.155
3,VNEOFZ,2.173
3,CBIQXA,2.255
3,TOXLWQ,2.174
3,YKVVAI,2.170
3,QZYEDT,2.182
3,CHXGPU,2.264
3,TYYOEH,2.269
3,LZRXWO,2.203
3,NUISHS,2.165
3,QTZTCZ,2.156
3,TMINSZ,2.113
3,NWVRBB,2.131
3,HXRCRX,2.148
3,VEJYXQ,2.156
3,UMKEUA,2.135
3,FRFNIS,2.118
3,FLGBNZ,2.135
3,UFODAS,2.154
3,PPMCWJ,2.127
3,TMEHRN,2.129
3,JRZQCE,2.119
3,BGTAHN,2.216
3,XCSIYC,2.139
3,VEFDNI,2.171
3,FFFXZA,2.212
3,BLDFHJ,2.184
3,LNBBZY,2.131
3,CUBVPP,2.214
3,IAWESM,2.220
3,UGGLDL,2.150
3,TLSLHB,2.148
3,GNXOVJ,2.210
3,GYKMGK,2.207
3,IGNWFV,2.172
3,WMKCOK,2.271
3,SPTTBC,2.238
3,ENFAUT,2.153
3,VSRELV,2.217
3,QXLDKW,2.160
3,TYQRTX,2.155
3,ABVXVZ,2.220
3,NYGLLQ,2.199
3,NPALMP,2.160
3,POMTWY,2.252
3,FIATKN,2.223
3,QRVJCI,2.145
3,RCEKQX,2.221
3,OMWCYP,2.163
3,MXOTES,2.153
3,MQYWNL,2.215
3,PHRWQO,2.209
3,VWEHQJ,2.154
